filename,parasite_ID,label,centroid_x,centroid_y,area,perimeter,ccm_ll_entropy,ccm_la_entropy,ccm_lb_entropy,ccm_aa_entropy,ccm_ab_entropy,ccm_bb_entropy,ccm_ll_asm,ccm_la_asm,ccm_lb_asm,ccm_aa_asm,ccm_ab_asm,ccm_bb_asm,ccm_la_contrast,ccm_lb_contrast,ccm_ab_contrast,ccm_la_idm,ccm_lb_idm,ccm_ab_idm,ccm_la_corr,ccm_lb_corr,ccm_ab_corr,minor_axis,major_axis,circularity,thickness_ratio,aspect_ratio,major_axis_perimeter_ratio,max_dist_boundary_centroid,min_dist_boundary_centroid,mean_dist_boundary_centroid,bilateral_symmetry,colour_mean,colour_median,colour_mode,colour_range,colour_variance,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,curvature_variance,curvature_entropy,curvature_energy,structure
field0336.jpg,parasite_003,241,36.24307036247335,24.648187633262264,469,214.47413408594537,0.0059078393953635,0.0238208997695072,0.0258790733971463,0.0053815017826437,0.0175912966682412,0.0051704330080257,0.6679834287607294,0.6658839024366124,0.6660572663264902,0.6688749703334519,0.6664080114512875,0.6702482842846406,467.6619496855346,6207.601415094339,10032.457547169812,0.8157289620985353,0.8156501345702645,0.8156480531657884,0.9439579409076532,0.9975155880116116,0.962273994594852,33.257069642043746,55.8421955602366,0.1281246997182875,98.0792200254074,1.6791075149218984,0.2603679730342642,32.79256898798981,0.9593157755219422,17.638339012690594,0.1235,109.14712153518124,66.0,249.0,245.0,10072.054403583666,0.5629508910132538,0.0719130364200586,0.1452711753047714,0.0230205711514538,0.0006220428088104,0.0049684062330811,0.0011769978591231,0.0751970185676271,6.9856857597597335,0.2269584161976562,True
field0338.jpg,parasite_000,170,43.02332361516035,50.01749271137026,343,191.50357133746817,0.0054860970123232,0.0190086157613383,0.0188543227849024,0.0031938286651887,0.0104712080849588,0.0034599788703032,0.7029208817749496,0.7012582870449284,0.7013160066341453,0.7046475091742582,0.7020235225363431,0.704395436905725,303.8580246913581,5582.239316239316,8462.65289648623,0.8372262624621355,0.8371367608287038,0.8371351424113717,0.9810554905314336,0.9974793540325554,0.9894680469744106,27.65530963229247,48.994537552749975,0.1175304040118744,106.92016861517428,1.771614138629646,0.2558413778425659,32.146445987867125,23.465636568172865,27.405257419774,0.1678,107.01846452866864,60.0,17.0,238.0,9791.285373346893,0.5767640052598023,0.088828388928913,0.0119539626700464,0.0106348063712157,0.0001195540420027,0.0010475540769795,-9.214288995087537e-06,0.1152472858437122,3.4288991324789952,0.0308831210725545,True
field0340.jpg,parasite_001,191,51.93103448275862,44.76551724137931,145,63.45584412271571,0.0065906553798008,0.017127901971469,0.0164000825864305,0.0035505035104997,0.0098836440014238,0.0043719884403826,0.3874611573024272,0.3822121441169061,0.3824221046443269,0.3948797626046304,0.3863693625598388,0.3991489599955209,1084.7910052910054,13243.185185185186,21772.261904761905,0.6165569601802949,0.6164132462250249,0.6164088962369537,0.8687524638898514,0.9935073688438188,0.9109163384264416,9.20607240145458,27.51556304232361,0.4525167036617406,27.769959678113064,2.988849298858012,0.4336174772037061,13.462952346506173,0.3876525541311483,7.87029980193656,0.3743,106.5103448275862,63.0,249.0,253.0,10461.721157352358,0.3628698183607364,0.0839886470026013,0.0092847706699228,0.0017821928735944,1.927362602163281e-06,-0.0001074531214955,6.988765618124048e-06,0.0892176577497722,5.860495305029584,0.259732538392095,True
field0340.jpg,parasite_003,223,51.79389312977099,54.09160305343512,393,148.8111831820431,0.0055996563028958,0.0187357405892693,0.0213325652765774,0.0033989437140532,0.0100759115670378,0.0034294612921782,0.4522816433712575,0.4465901458833568,0.4464301670985613,0.4669305115573862,0.4527601384753301,0.4658250725669533,924.6816638370116,11119.636672325976,18347.92444821732,0.6665106496035904,0.666394074059703,0.666414896031873,0.9743091180145004,0.9905572844075164,0.9825297657758774,18.749740258937788,39.37940613239928,0.2230135622965692,56.34801078890478,2.1002640883853068,0.2646266583622672,23.84094758545681,1.638018939721112,12.550211791350078,0.3178,109.05258693808314,67.0,14.0,255.0,10175.803850390024,0.3025270971879895,0.0363703276089427,0.0006056672278627,0.000265395099827,-9.664263804903861e-08,1.2533037953862369e-05,-4.451887261436903e-08,0.0729131804669117,7.059103138404657,0.287377696690421,True
field0340.jpg,parasite_004,223,42.79389312977099,41.09160305343512,393,148.8111831820431,0.0055996563028958,0.0187357405892693,0.0213325652765774,0.0033989437140532,0.0100759115670378,0.0034294612921782,0.4522816433712575,0.4465901458833568,0.4464301670985613,0.4669305115573862,0.4527601384753301,0.4658250725669533,924.6816638370116,11119.636672325976,18347.92444821732,0.6665106496035904,0.666394074059703,0.666414896031873,0.9743091180145004,0.9905572844075164,0.9825297657758774,18.749740258937788,39.37940613239928,0.2230135622965692,56.34801078890478,2.1002640883853068,0.2646266583622672,23.84094758545681,1.638018939721112,12.550211791350078,0.3178,109.05258693808314,67.0,14.0,255.0,10175.803850390024,0.3025270971879895,0.0363703276089427,0.0006056672278627,0.000265395099827,-9.664263804903861e-08,1.2533037953862369e-05,-4.451887261436903e-08,0.0729131804669117,7.059103138404657,0.287377696690421,True
field0341.jpg,parasite_000,204,48.74426229508197,59.01967213114754,305,173.01828996322965,0.0087182834642268,0.0280202478924389,0.0284249975008159,0.0056912090372708,0.0195445617062876,0.0059383569734885,0.6932693919534988,0.6921765918692874,0.6921528618006436,0.6936320360794397,0.6923384431067039,0.6938340458945611,384.79260893546615,5613.290678433536,8824.015995587426,0.8318903625016258,0.8317755957361221,0.8317737845153961,0.9022988989782028,0.9939715208972132,0.9387511978567022,24.484245073534264,52.976149365580255,0.1280341058112525,98.14861856327936,2.163683185104356,0.3061881456396251,31.5240794728828,0.7117144507370002,15.004113062476115,0.1734,109.00218579234972,66.0,249.0,245.0,9797.6743121622,0.6979407086936793,0.204532684220813,0.1676299613205366,0.0937371681225032,0.0117324352559792,0.0421717213589637,0.0006450477634849,0.0892442065094902,7.378100366551149,0.3822554420408053,True
